instance;best_makespan;opt_or_unsat_certified;time
J10054_4.mm2;32;yes;9,08
J10054_5.mm2;35;yes;6,22
J1005_4.mm2;21;no;600
J10055_1.mm2;71;no;600
J10055_2.mm2;68;no;600
J10055_3.mm2;;no;600
J10055_4.mm2;59;no;600
J10055_5.mm2;59;no;600
J1005_5.mm2;20;yes;10,02
J10056_1.mm2;46;no;600
J10056_2.mm2;41;no;600
J10056_3.mm2;41;no;600
J10056_4.mm2;51;no;600
J10056_5.mm2;40;no;600
J10057_1.mm2;37;yes;46,91
J10057_2.mm2;34;no;600
J10057_3.mm2;35;no;600
J10057_4.mm2;34;no;600
J10057_5.mm2;42;no;600
J10058_1.mm2;36;no;600
J10058_2.mm2;34;yes;44,96
J10058_3.mm2;38;no;600
J10058_4.mm2;37;yes;44,73
J10058_5.mm2;38;no;600
J10059_1.mm2;54;no;600
J10059_2.mm2;34;yes;38,06
J10059_3.mm2;32;no;600
J10059_4.mm2;37;no;600
J10059_5.mm2;34;no;600
J10060_1.mm2;30;yes;27,82
J10060_2.mm2;35;no;600
J10060_3.mm2;32;no;600
J10060_4.mm2;34;yes;35,58
J10060_5.mm2;30;no;600
J10061_1.mm2;60;no;600
J10061_2.mm2;;no;600
J10061_3.mm2;51;no;600
J10061_4.mm2;;no;600
J10061_5.mm2;;no;600
J1006_1.mm2;25;yes;7,43
J10062_1.mm2;35;yes;16,47
J10062_2.mm2;36;yes;247,60
J10062_3.mm2;34;yes;64,15
J10062_4.mm2;39;yes;9,17
J10062_5.mm2;34;yes;10,07
J1006_2.mm2;23;yes;8,76
J10063_1.mm2;37;yes;11,24
J10063_2.mm2;29;yes;8,46
J10063_3.mm2;35;yes;6,06
J10063_4.mm2;35;yes;6,62
J10063_5.mm2;30;yes;11,00
J1006_3.mm2;22;no;600
J10064_1.mm2;29;yes;7,31
J10064_2.mm2;33;yes;9,50
J10064_3.mm2;32;yes;9,40
J10064_4.mm2;31;yes;7,68
J10064_5.mm2;31;yes;13,07
J1006_4.mm2;22;yes;7,13
J10065_1.mm2;30;yes;11,24
