instance,horizon,variables,clauses,makespan,status,Solve time,timeout
j1015_2.mm,83,2613,364,25,Optimal,12.12,No
j1015_3.mm,71,2271,328,15,Optimal,4.40,No
j1015_4.mm,80,2553,355,15,Optimal,4.51,No
j1015_5.mm,70,2260,325,11,Optimal,3.61,No
j1015_6.mm,78,2453,349,19,Optimal,8.48,No
j1015_7.mm,77,2478,346,10,Optimal,8.80,No
j1015_8.mm,77,2460,346,11,Optimal,5.48,No
j1015_9.mm,65,2082,310,14,Optimal,2.38,No
j1016_1.mm,82,2623,361,13,Optimal,4.89,No
j1016_10.mm,79,2476,352,26,Optimal,5.26,No
j1016_2.mm,78,2492,349,17,Optimal,2.33,No
j1016_3.mm,79,2527,352,12,Optimal,8.16,No
j1016_4.mm,86,2730,373,21,Optimal,7.05,No
j1016_5.mm,81,2540,358,25,Optimal,5.07,No
j1016_6.mm,73,2314,334,21,Optimal,2.19,No
j1016_7.mm,65,2094,310,12,Optimal,2.93,No
j1016_8.mm,66,2132,313,9,Optimal,2.23,No
j1016_9.mm,78,2474,349,16,Optimal,5.89,No
j1018_1.mm,87,2777,376,15,Optimal,6.83,No
j1018_10.mm,70,2239,325,16,Optimal,4.14,No
j1018_2.mm,75,2393,340,15,Optimal,2.51,No
j1018_3.mm,75,2396,340,17,Optimal,4.75,No
j1018_4.mm,85,2701,370,19,Optimal,7.30,No
j1018_5.mm,71,2271,328,14,Optimal,5.35,No
j1018_6.mm,82,2590,361,15,Optimal,7.06,No
j1018_7.mm,72,2312,331,12,Optimal,3.04,No
j1018_8.mm,85,2695,370,16,Optimal,5.18,No
j1018_9.mm,81,2582,358,14,Optimal,6.87,No
j1019_1.mm,79,2494,352,13,Optimal,1.98,No
j1019_10.mm,92,2937,391,11,Optimal,9.13,No
j1019_2.mm,76,2416,343,15,Optimal,5.40,No
j1019_3.mm,78,2483,349,16,Optimal,4.34,No
j1019_4.mm,80,2535,355,15,Optimal,6.01,No
j1019_5.mm,88,2803,379,13,Optimal,4.70,No
j1019_6.mm,79,2497,352,17,Optimal,1.76,No
j1019_7.mm,76,2422,343,14,Optimal,3.46,No
j1019_8.mm,75,2405,340,15,Optimal,4.08,No
j1019_9.mm,80,2574,355,12,Optimal,7.30,No
j1020_1.mm,77,2460,346,12,Optimal,3.91,No
j1020_10.mm,78,2513,349,10,Optimal,5.14,No
j1020_2.mm,68,2145,319,18,Optimal,2.65,No
j1020_3.mm,84,2651,367,21,Optimal,2.68,No
j1020_4.mm,67,2122,316,17,Optimal,3.37,No
j1020_5.mm,79,2527,352,12,Optimal,2.98,No
j1020_6.mm,85,2671,370,20,Optimal,4.29,No
j1020_8.mm,79,2533,352,12,Optimal,4.44,No
j1020_9.mm,67,2167,316,9,Optimal,2.90,No
j1021_1.mm,71,2250,328,27,Optimal,3.72,No
j1021_10.mm,83,2646,364,26,Optimal,3.28,No
j1021_2.mm,69,2207,322,23,Optimal,4.11,No
j1021_3.mm,83,2607,364,37,Optimal,22.46,No
j1021_4.mm,82,2623,361,23,Optimal,4.05,No
j1021_5.mm,82,2587,361,35,Optimal,25.86,No
j1021_6.mm,78,2504,349,29,Optimal,7.86,No
j1021_7.mm,73,2347,334,24,Optimal,11.43,No
j1021_8.mm,82,2623,361,23,Optimal,10.76,No
j1021_9.mm,85,2719,370,25,Optimal,12.28,No
j1022_1.mm,82,2593,361,21,Optimal,10.80,No
j1022_10.mm,79,2482,352,19,Optimal,1.22,No
j1022_2.mm,75,2402,340,15,Optimal,16.00,No
j1022_3.mm,90,2846,385,23,Optimal,4.70,No
j1022_4.mm,79,2536,352,16,Optimal,5.40,No
j1022_5.mm,82,2623,361,15,Optimal,6.98,No
j1022_6.mm,82,2593,361,16,Optimal,3.90,No
j1022_7.mm,76,2452,343,12,Optimal,6.66,No
j1022_8.mm,76,2419,343,19,Optimal,8.55,No
j1022_9.mm,82,2590,361,19,Optimal,4.26,No
j1023_1.mm,77,2451,346,15,Optimal,8.20,No
j1023_10.mm,79,2512,352,16,Optimal,11.66,No
j1023_2.mm,75,2399,340,15,Optimal,4.63,No
j1023_3.mm,84,2660,367,16,Optimal,4.74,No
j1023_4.mm,91,2893,388,21,Optimal,8.47,No
j1023_5.mm,88,2803,379,14,Optimal,9.51,No
j1023_6.mm,79,2512,352,19,Optimal,5.09,No
j1023_8.mm,82,2605,361,18,Optimal,7.57,No
j1023_9.mm,76,2440,343,13,Optimal,6.56,No
j1024_1.mm,70,2254,325,8,Optimal,2.70,No
j1024_10.mm,84,2642,367,15,Optimal,2.56,No
j1024_2.mm,74,2358,337,14,Optimal,3.57,No
j1024_3.mm,76,2452,343,10,Optimal,2.36,No
j1024_4.mm,73,2341,334,15,Optimal,4.13,No
j1024_5.mm,75,2390,340,14,Optimal,2.97,No
j1024_6.mm,81,2546,358,16,Optimal,5.36,No
j1024_7.mm,78,2486,349,17,Optimal,2.92,No
j1024_8.mm,72,2240,331,25,Optimal,3.57,No
j1024_9.mm,83,2664,364,10,Optimal,7.72,No
j1026_1.mm,82,2599,361,14,Optimal,2.99,No
j1026_10.mm,86,2727,373,16,Optimal,5.35,No
j1026_2.mm,86,2772,373,12,Optimal,4.94,No
j1026_3.mm,80,2544,355,16,Optimal,1.29,No
j1026_4.mm,82,2614,361,16,Optimal,6.63,No
j1026_5.mm,83,2625,364,18,Optimal,4.72,No
j1026_6.mm,85,2701,370,18,Optimal,4.36,No
j1026_7.mm,89,2829,382,14,Optimal,5.19,No
j1026_8.mm,80,2523,355,15,Optimal,6.91,No
j1026_9.mm,75,2399,340,11,Optimal,3.61,No
j1027_1.mm,72,2282,331,15,Optimal,0.91,No
j1027_10.mm,69,2198,322,14,Optimal,1.71,No
j1027_2.mm,81,2591,358,12,Optimal,3.83,No
j1027_3.mm,73,2320,334,15,Optimal,2.83,No
j1027_4.mm,81,2570,358,15,Optimal,5.08,No
j1027_5.mm,88,2782,379,18,Optimal,3.37,No
j1027_6.mm,79,2518,352,14,Optimal,2.95,No
j1027_7.mm,71,2292,328,10,Optimal,2.40,No
j1027_8.mm,80,2568,355,12,Optimal,2.86,No
j1027_9.mm,88,2812,379,15,Optimal,2.62,No
j1028_1.mm,84,2651,367,19,Optimal,4.53,No
j1028_10.mm,82,2581,361,18,Optimal,5.59,No
j1028_2.mm,86,2673,373,24,Optimal,5.04,No
j1028_3.mm,74,2328,337,20,Optimal,3.87,No
j1028_4.mm,79,2527,352,16,Optimal,3.42,No
j1028_5.mm,91,2887,388,18,Optimal,4.31,No
j1028_6.mm,85,2737,370,9,Optimal,2.92,No
j1028_7.mm,88,2806,379,15,Optimal,3.26,No
j1028_8.mm,78,2477,349,16,Optimal,2.46,No
j1028_9.mm,73,2338,334,12,Optimal,2.90,No
j1029_1.mm,76,2419,343,20,Optimal,5.98,No
j1029_10.mm,84,2678,367,28,Optimal,9.10,No
j1029_2.mm,77,2445,346,19,Optimal,3.17,No
j1029_3.mm,83,2643,364,24,Optimal,4.91,No
j1029_4.mm,73,2317,334,23,Optimal,0.45,No
j1029_5.mm,82,2596,361,25,Optimal,5.58,No
j1029_6.mm,79,2494,352,27,Optimal,3.73,No
j1029_7.mm,81,2585,358,28,Optimal,16.81,No
j1029_8.mm,85,2746,370,23,Optimal,2.78,No
j1029_9.mm,84,2675,367,23,Optimal,7.59,No
j102_10.mm,82,2641,361,33,Optimal,36.36,No
j102_2.mm,86,2742,373,20,Optimal,11.54,No
j102_4.mm,74,2358,337,18,Optimal,4.39,No
j102_5.mm,76,2416,343,16,Optimal,31.88,No
j102_6.mm,76,2449,343,16,Optimal,5.58,No
j102_7.mm,79,2464,352,25,Optimal,4.92,No
j102_9.mm,83,2646,364,17,Optimal,7.16,No
j1030_1.mm,83,2643,364,16,Optimal,5.14,No
j1030_10.mm,62,1974,301,17,Optimal,2.06,No
j1030_2.mm,80,2562,355,17,Optimal,12.71,No
j1030_3.mm,69,2183,322,17,Optimal,2.46,No
j1030_4.mm,75,2417,340,12,Optimal,3.58,No
j1030_5.mm,86,2733,373,28,Optimal,4.58,No
j1030_6.mm,88,2785,379,22,Optimal,5.26,No
j1030_7.mm,75,2414,340,15,Optimal,3.55,No
j1030_8.mm,83,2640,364,14,Optimal,4.16,No
j1030_9.mm,76,2443,343,15,Optimal,2.67,No
j1031_1.mm,84,2666,367,17,Optimal,3.27,No
j1031_10.mm,81,2600,358,13,Optimal,4.53,No
j1031_2.mm,82,2626,361,15,Optimal,4.17,No
j1031_3.mm,72,2270,331,15,Optimal,3.10,No
j1031_4.mm,84,2660,367,18,Optimal,4.89,No
j1031_5.mm,83,2640,364,15,Optimal,4.64,No
j1031_6.mm,84,2633,367,20,Optimal,2.17,No
j1031_7.mm,66,2105,313,14,Optimal,2.73,No
j1031_8.mm,88,2791,379,16,Optimal,4.91,No
j1031_9.mm,89,2817,382,15,Optimal,7.66,No
j1032_1.mm,84,2681,367,17,Optimal,6.26,No
j1032_10.mm,74,2376,337,13,Optimal,3.60,No
j1032_2.mm,71,2265,328,12,Optimal,2.72,No
j1032_3.mm,86,2703,373,19,Optimal,2.38,No
j1032_4.mm,68,2172,319,12,Optimal,2.45,No
j1032_5.mm,77,2481,346,11,Optimal,2.70,No
j1032_6.mm,88,2794,379,17,Optimal,4.04,No
j1032_7.mm,86,2742,373,16,Optimal,3.75,No
j1032_8.mm,72,2294,331,12,Optimal,2.55,No
j1032_9.mm,74,2361,337,15,Optimal,3.24,No
j1034_1.mm,79,2521,352,23,Optimal,49.38,No
j1034_10.mm,80,2580,355,18,Optimal,99.47,No
j1034_2.mm,75,2405,340,12,Optimal,23.85,No
j1034_3.mm,74,2370,337,25,Optimal,210.16,No
j1034_4.mm,73,2347,334,23,Optimal,230.68,No
j1034_5.mm,76,2434,343,22,Optimal,97.81,No
j1034_6.mm,92,2916,391,30,Optimal,166.54,No
j1034_7.mm,77,2460,346,26,Optimal,16.65,No
j1034_8.mm,80,2568,355,19,Optimal,31.68,No
j1034_9.mm,84,2660,367,26,Optimal,222.73,No
j1035_1.mm,86,2718,373,28,Optimal,85.06,No
j1035_10.mm,82,2611,361,20,Optimal,57.26,No
j1035_2.mm,78,2432,349,32,Optimal,354.47,No
j1035_3.mm,90,2846,385,34,Optimal,253.20,No
j1035_4.mm,83,2643,364,23,Optimal,76.25,No
j1035_5.mm,85,2713,370,24,Optimal,37.04,No
j1035_6.mm,80,2553,355,19,Optimal,36.09,No
j1035_7.mm,74,2364,337,22,Optimal,92.34,No
j1035_8.mm,85,2686,370,28,Optimal,104.71,No
j1035_9.mm,76,2443,343,18,Optimal,12.21,No
j1036_1.mm,75,2351,340,32,Optimal,44.10,No
j1036_10.mm,84,2645,367,33,Optimal,175.23,No
j1036_2.mm,83,2649,364,26,Optimal,85.43,No
j1036_3.mm,79,2530,352,17,Optimal,31.70,No
j1036_4.mm,88,2797,379,22,Optimal,20.31,No
j1036_5.mm,64,2050,307,23,Optimal,156.93,No
j1036_6.mm,75,2372,340,21,Optimal,14.29,No
j1036_7.mm,83,2619,364,25,Optimal,49.36,No
j1036_8.mm,76,2416,343,23,Optimal,15.91,No
j1037_1.mm,82,2614,361,36,Optimal,40.23,No
j1037_10.mm,91,2872,388,40,Optimal,399.31,No
j1037_2.mm,67,2176,316,27,Optimal,33.83,No
j1037_3.mm,78,2510,349,29,Optimal,18.53,No
j1037_4.mm,83,2622,364,33,Optimal,89.81,No
j1037_5.mm,75,2363,340,38,Optimal,47.82,No
j1037_6.mm,62,1974,301,28,Optimal,13.33,No
j1037_7.mm,85,2716,370,30,Optimal,78.33,No
j1037_8.mm,84,2657,367,42,Optimal,239.82,No
j1037_9.mm,75,2390,340,31,Optimal,269.50,No
j1038_1.mm,79,2512,352,28,Optimal,24.99,No
j1038_10.mm,78,2513,349,22,Optimal,64.56,No
j1038_2.mm,74,2367,337,25,Optimal,138.70,No
j1038_3.mm,88,2800,379,25,Optimal,39.85,No
j1038_4.mm,90,2864,385,27,Optimal,149.80,No
j1038_5.mm,72,2300,331,22,Optimal,35.51,No
j1038_6.mm,75,2399,340,24,Optimal,43.17,No
j1038_7.mm,88,2797,379,32,Optimal,306.24,No
j1038_8.mm,79,2524,352,31,Optimal,195.96,No
j1038_9.mm,83,2640,364,31,Optimal,132.46,No
j1039_1.mm,72,2324,331,21,Optimal,107.19,No
j1039_10.mm,78,2468,349,31,Optimal,47.60,No
j1039_2.mm,74,2376,337,18,Optimal,38.92,No
j1039_3.mm,78,2468,349,28,Optimal,65.78,No
j1039_4.mm,77,2487,346,17,Optimal,74.79,No
j1039_5.mm,78,2447,349,30,Optimal,97.39,No
j1039_6.mm,88,2809,379,24,Optimal,208.68,No
j1039_7.mm,77,2481,346,17,Optimal,26.96,No
j1039_8.mm,86,2748,373,23,Optimal,124.79,No
j1039_9.mm,84,2660,367,24,Optimal,46.33,No
j103_10.mm,76,2398,343,16,Optimal,5.92,No
j103_2.mm,83,2670,364,13,Optimal,7.97,No
j103_3.mm,68,2154,319,19,Optimal,12.00,No
j103_4.mm,71,2250,328,23,Optimal,3.29,No
j103_5.mm,87,2768,376,21,Optimal,7.89,No
j103_6.mm,84,2672,367,29,Optimal,10.73,No
j103_7.mm,80,2571,355,14,Optimal,11.90,No
j103_8.mm,78,2465,349,24,Optimal,7.40,No
j103_9.mm,84,2687,367,20,Optimal,8.17,No
j1040_1.mm,81,2606,358,19,Optimal,64.38,No
j1040_10.mm,74,2382,337,16,Optimal,22.68,No
j1040_2.mm,80,2514,355,32,Optimal,219.87,No
j1040_3.mm,81,2585,358,25,Optimal,270.45,No
j1040_5.mm,88,2803,379,21,Optimal,24.63,No
j1040_6.mm,75,2387,340,18,Optimal,83.65,No
j1040_7.mm,75,2384,340,28,Optimal,104.46,No
j1040_8.mm,86,2721,373,29,Optimal,222.60,No
j1040_9.mm,85,2728,370,19,Optimal,110.50,No
j1042_1.mm,74,2340,337,17,Optimal,25.47,No
j1042_10.mm,86,2775,373,12,Optimal,12.66,No
j1042_2.mm,74,2367,337,15,Optimal,11.98,No
j1042_3.mm,81,2543,358,25,Optimal,15.21,No
j1042_4.mm,75,2414,340,14,Optimal,7.41,No
j1042_5.mm,76,2392,343,20,Optimal,5.00,No
j1042_6.mm,80,2562,355,12,Optimal,11.21,No
j1042_7.mm,82,2563,361,26,Optimal,17.73,No
j1042_8.mm,75,2396,340,18,Optimal,10.87,No
j1042_9.mm,70,2221,325,12,Optimal,3.47,No
j1043_1.mm,77,2436,346,18,Optimal,17.03,No
j1043_10.mm,76,2419,343,16,Optimal,13.51,No
j1043_2.mm,86,2748,373,15,Optimal,8.59,No
j1043_3.mm,83,2643,364,17,Optimal,16.24,No
j1043_4.mm,72,2279,331,15,Optimal,6.34,No
j1043_5.mm,79,2497,352,19,Optimal,25.32,No
j1043_6.mm,82,2614,361,16,Optimal,12.97,No
j1043_7.mm,76,2434,343,12,Optimal,7.55,No
j1043_8.mm,76,2401,343,21,Optimal,4.85,No
j1043_9.mm,77,2481,346,11,Optimal,6.41,No
j1044_1.mm,89,2820,382,18,Optimal,6.44,No
j1044_10.mm,78,2498,349,13,Optimal,3.30,No
j1044_2.mm,82,2623,361,16,Optimal,5.39,No
j1044_3.mm,95,2985,400,20,Optimal,15.85,No
j1044_4.mm,85,2665,370,24,Optimal,16.23,No
j1044_5.mm,73,2314,334,24,Optimal,14.46,No
j1044_7.mm,69,2192,322,15,Optimal,5.67,No
j1044_8.mm,86,2727,373,16,Optimal,14.08,No
j1044_9.mm,64,2020,307,17,Optimal,4.31,No
j1045_1.mm,79,2488,352,27,Optimal,14.94,No
j1045_10.mm,76,2413,343,25,Optimal,16.31,No
j1045_2.mm,80,2559,355,20,Optimal,11.45,No
j1045_3.mm,68,2181,319,18,Optimal,7.36,No
j1045_4.mm,77,2463,346,19,Optimal,10.02,No
j1045_5.mm,83,2655,364,28,Optimal,20.77,No
j1045_6.mm,77,2484,346,23,Optimal,20.63,No
j1045_7.mm,86,2694,373,31,Optimal,9.44,No
j1045_8.mm,76,2410,343,23,Optimal,8.62,No
j1045_9.mm,73,2326,334,24,Optimal,5.12,No
j1046_1.mm,86,2715,373,24,Optimal,147.14,No
j1046_10.mm,77,2466,346,20,Optimal,13.15,No
j1046_2.mm,70,2254,325,14,Optimal,12.02,No
j1046_3.mm,82,2611,361,15,Optimal,11.40,No
j1046_4.mm,78,2474,349,18,Optimal,26.98,No
j1046_5.mm,84,2693,367,18,Optimal,37.23,No
j1046_6.mm,86,2724,373,23,Optimal,19.41,No
j1046_7.mm,64,2035,307,21,Optimal,11.09,No
j1046_8.mm,80,2538,355,21,Optimal,48.21,No
j1046_9.mm,73,2335,334,16,Optimal,13.22,No
j1047_1.mm,79,2512,352,20,Optimal,31.25,No
j1047_10.mm,86,2688,373,29,Optimal,334.45,No
j1047_2.mm,77,2433,346,15,Optimal,10.74,No
j1047_3.mm,74,2349,337,19,Optimal,22.01,No
j1047_4.mm,84,2663,367,25,Optimal,29.06,No
j1047_5.mm,66,2108,313,16,Optimal,7.18,No
j1047_6.mm,68,2160,319,19,Optimal,6.24,No
j1047_7.mm,83,2655,364,18,Optimal,15.30,No
j1047_8.mm,81,2555,358,21,Optimal,29.77,No
j1047_9.mm,77,2463,346,16,Optimal,17.63,No
j1048_1.mm,86,2733,373,16,Optimal,22.62,No
j1048_10.mm,77,2454,346,16,Optimal,7.11,No
j1048_2.mm,79,2521,352,16,Optimal,11.60,No
j1048_3.mm,70,2236,325,13,Optimal,3.83,No
j1048_4.mm,86,2769,373,10,Optimal,9.45,No
j1048_5.mm,73,2314,334,14,Optimal,8.16,No
j1048_6.mm,77,2460,346,14,Optimal,9.49,No
j1048_7.mm,78,2480,349,14,Optimal,8.89,No
j1048_8.mm,86,2697,373,24,Optimal,10.82,No
j1048_9.mm,89,2847,382,16,Optimal,12.51,No
j104_1.mm,89,2787,382,27,Optimal,6.60,No
j104_10.mm,74,2346,337,15,Optimal,2.93,No
j104_2.mm,71,2262,328,20,Optimal,4.14,No
j104_3.mm,82,2620,361,23,Optimal,4.64,No
j104_4.mm,78,2519,349,15,Optimal,3.49,No
j104_5.mm,90,2843,385,31,Optimal,44.80,No
j104_6.mm,74,2358,337,21,Optimal,6.63,No
j104_8.mm,84,2681,367,19,Optimal,13.05,No
j104_9.mm,86,2739,373,21,Optimal,5.97,No
j1050_1.mm,85,2722,370,13,Optimal,7.31,No
j1050_10.mm,75,2402,340,17,Optimal,19.27,No
j1050_2.mm,85,2692,370,20,Optimal,5.65,No
j1050_3.mm,68,2169,319,17,Optimal,8.93,No
j1050_4.mm,85,2698,370,20,Optimal,14.11,No
j1050_5.mm,76,2431,343,10,Optimal,4.93,No
j1050_6.mm,77,2472,346,12,Optimal,7.95,No
j1050_7.mm,92,2892,391,26,Optimal,9.68,No
j1050_8.mm,74,2367,337,11,Optimal,2.78,No
j1050_9.mm,83,2640,364,20,Optimal,4.17,No
j1051_1.mm,79,2488,352,23,Optimal,5.52,No
j1051_10.mm,76,2434,343,12,Optimal,4.17,No
j1051_2.mm,77,2478,346,14,Optimal,4.39,No
j1051_3.mm,70,2221,325,15,Optimal,13.31,No
j1051_4.mm,72,2273,331,17,Optimal,4.96,No
j1051_5.mm,79,2458,352,29,Optimal,7.52,No
j1051_6.mm,74,2376,337,9,Optimal,4.36,No
j1051_7.mm,84,2672,367,21,Optimal,4.75,No
j1051_8.mm,82,2623,361,14,Optimal,5.15,No
j1051_9.mm,73,2296,334,19,Optimal,4.73,No
j1052_1.mm,85,2716,370,11,Optimal,6.59,No
j1052_10.mm,72,2312,331,10,Optimal,4.49,No
j1052_2.mm,68,2157,319,18,Optimal,5.81,No
j1052_3.mm,85,2734,370,8,Optimal,3.97,No
j1052_4.mm,79,2521,352,15,Optimal,7.05,No
j1052_5.mm,75,2369,340,19,Optimal,7.23,No
j1052_6.mm,73,2326,334,14,Optimal,5.87,No
j1052_7.mm,84,2672,367,16,Optimal,6.38,No
j1052_8.mm,77,2436,346,16,Optimal,5.07,No
j1052_9.mm,77,2421,346,17,Optimal,10.22,No
j1053_1.mm,91,2887,388,28,Optimal,11.56,No
j1053_10.mm,84,2669,367,30,Optimal,6.51,No
j1053_2.mm,88,2806,379,33,Optimal,6.75,No
j1053_3.mm,78,2459,349,26,Optimal,4.57,No
j1053_4.mm,70,2260,325,23,Optimal,4.06,No
j1053_5.mm,77,2442,346,26,Optimal,6.74,No
j1053_6.mm,82,2593,361,29,Optimal,7.00,No
j1053_7.mm,67,2146,316,18,Optimal,2.49,No
j1053_8.mm,81,2579,358,25,Optimal,13.45,No
j1053_9.mm,91,2929,388,29,Optimal,9.51,No
j1054_1.mm,76,2404,343,18,Optimal,9.16,No
j1054_10.mm,86,2706,373,19,Optimal,11.85,No
j1054_2.mm,81,2546,358,22,Optimal,10.12,No
j1054_3.mm,80,2532,355,23,Optimal,5.96,No
j1054_4.mm,83,2649,364,18,Optimal,5.21,No
j1054_5.mm,90,2852,385,14,Optimal,7.85,No
j1054_6.mm,75,2411,340,14,Optimal,3.71,No
j1054_7.mm,86,2703,373,21,Optimal,15.00,No
j1054_8.mm,84,2693,367,18,Optimal,17.64,No
j1054_9.mm,77,2436,346,22,Optimal,8.95,No
j1055_1.mm,89,2817,382,18,Optimal,7.36,No
j1055_10.mm,69,2195,322,17,Optimal,3.76,No
j1055_2.mm,74,2361,337,14,Optimal,5.62,No
j1055_3.mm,81,2579,358,13,Optimal,4.97,No
j1055_4.mm,84,2639,367,24,Optimal,6.14,No
j1055_5.mm,77,2463,346,13,Optimal,4.82,No
j1055_6.mm,85,2686,370,19,Optimal,13.40,No
j1055_7.mm,82,2632,361,16,Optimal,14.33,No
j1055_8.mm,81,2570,358,20,Optimal,35.98,No
j1055_9.mm,81,2591,358,13,Optimal,9.69,No
j1056_1.mm,75,2402,340,14,Optimal,2.69,No
j1056_10.mm,75,2375,340,14,Optimal,7.03,No
j1056_2.mm,91,2899,388,13,Optimal,6.93,No
j1056_3.mm,87,2738,376,23,Optimal,4.76,No
j1056_4.mm,80,2559,355,10,Optimal,3.72,No
j1056_5.mm,77,2433,346,14,Optimal,9.04,No
j1056_6.mm,87,2777,376,13,Optimal,8.01,No
j1056_7.mm,83,2634,364,18,Optimal,5.41,No
j1056_8.mm,84,2675,367,15,Optimal,6.01,No
j1056_9.mm,84,2669,367,14,Optimal,5.66,No
j1058_1.mm,84,2648,367,19,Optimal,3.22,No
j1058_10.mm,91,2875,388,15,Optimal,6.82,No
j1058_2.mm,71,2256,328,14,Optimal,3.10,No
j1058_3.mm,80,2535,355,19,Optimal,5.52,No
j1058_4.mm,87,2762,376,17,Optimal,6.36,No
j1058_5.mm,82,2590,361,16,Optimal,5.33,No
j1058_6.mm,87,2783,376,14,Optimal,8.94,No
j1058_7.mm,75,2387,340,13,Optimal,3.16,No
j1058_8.mm,88,2794,379,16,Optimal,7.68,No
j1058_9.mm,75,2420,340,11,Optimal,5.59,No
j1059_1.mm,71,2250,328,13,Optimal,2.95,No
j1059_10.mm,75,2381,340,17,Optimal,5.94,No
j1059_2.mm,78,2492,349,15,Optimal,3.22,No
j1059_3.mm,87,2759,376,16,Optimal,5.03,No
j1059_4.mm,73,2347,334,14,Optimal,2.86,No
j1059_5.mm,81,2588,358,13,Optimal,4.37,No
j1059_6.mm,86,2739,373,12,Optimal,4.15,No
j1059_7.mm,72,2312,331,11,Optimal,3.39,No
j1059_8.mm,86,2739,373,12,Optimal,6.68,No
j1059_9.mm,88,2791,379,15,Optimal,7.10,No
j105_1.mm,87,2792,376,42,Optimal,3.70,No
j105_10.mm,81,2576,358,25,Optimal,8.70,No
j105_3.mm,71,2286,328,32,Optimal,9.64,No
j105_4.mm,71,2265,328,23,Optimal,11.51,No
j105_6.mm,84,2687,367,34,Optimal,24.17,No
j105_8.mm,75,2387,340,31,Optimal,34.07,No
j1060_1.mm,79,2524,352,13,Optimal,4.65,No
j1060_10.mm,71,2268,328,15,Optimal,2.99,No
j1060_2.mm,82,2605,361,19,Optimal,4.55,No
j1060_3.mm,88,2806,379,9,Optimal,3.60,No
j1060_4.mm,80,2562,355,13,Optimal,3.57,No
j1060_5.mm,85,2707,370,18,Optimal,3.84,No
j1060_6.mm,68,2187,319,10,Optimal,2.90,No
j1060_7.mm,82,2590,361,15,Optimal,3.77,No
j1060_8.mm,74,2343,337,13,Optimal,3.24,No
j1060_9.mm,70,2221,325,15,Optimal,3.16,No
j1061_1.mm,79,2530,352,24,Optimal,8.72,No
j1061_10.mm,83,2610,364,41,Optimal,5.59,No
j1061_2.mm,82,2605,361,24,Optimal,6.46,No
j1061_3.mm,88,2788,379,32,Optimal,4.30,No
j1061_4.mm,85,2719,370,27,Optimal,4.38,No
