instance,horizon,variables,clauses,makespan,status,Solve time,timeout
j2014_1.mm,133,177851,537177,25,Optimal,5.98,No
j2014_10.mm,161,237547,734315,24,Optimal,6.58,No
j2014_2.mm,162,211249,678580,28,Optimal,7.12,No
j2014_3.mm,166,286236,841810,22,Optimal,9.12,No
j2014_4.mm,151,225818,685658,28,Optimal,7.70,No
j2014_5.mm,154,203422,640605,30,Optimal,5.90,No
j2014_6.mm,145,204360,629175,20,Optimal,7.03,No
j2014_7.mm,142,174919,551653,29,Optimal,4.94,No
j2014_8.mm,166,225327,720123,27,Optimal,7.64,No
j2014_9.mm,169,261624,802128,26,Optimal,7.41,No
j2015_1.mm,147,232541,681968,25,Optimal,6.39,No
j2015_10.mm,148,247120,724633,24,Optimal,7.25,No
j2015_2.mm,163,305497,870208,24,Optimal,9.70,No
j2015_3.mm,166,356715,978066,25,Optimal,9.96,No
j2015_4.mm,160,316024,877709,27,Optimal,10.27,No
j2015_5.mm,170,336689,955369,25,Optimal,10.68,No
j2015_6.mm,161,360206,980946,19,Optimal,11.11,No
j2015_7.mm,162,368282,992838,26,Optimal,11.51,No
j2015_8.mm,153,277017,792975,22,Optimal,7.81,No
j2015_9.mm,170,357587,996889,21,Optimal,11.34,No
j2016_1.mm,158,349322,946968,24,Optimal,10.79,No
j2016_10.mm,162,316481,880351,38,Optimal,7.39,No
j2016_2.mm,155,336854,903645,24,Optimal,10.55,No
j2016_3.mm,159,337155,915455,31,Optimal,10.39,No
j2016_4.mm,173,333458,947737,36,Optimal,9.57,No
j2016_5.mm,165,317335,896380,21,Optimal,10.08,No
j2016_6.mm,154,316275,848280,36,Optimal,8.50,No
j2016_7.mm,159,419530,1086570,25,Optimal,11.34,No
j2016_8.mm,155,258806,747777,28,Optimal,8.20,No
j2016_9.mm,162,360801,983949,18,Optimal,11.06,No
j2017_1.mm,166,72750,420137,17,Optimal,4.13,No
j2017_10.mm,162,60140,384161,29,Optimal,3.46,No
j2017_2.mm,158,53031,360875,36,Optimal,3.24,No
j2017_3.mm,164,69154,396687,32,Optimal,3.63,No
j2017_4.mm,160,64785,384688,30,Optimal,3.55,No
j2017_5.mm,145,60991,346634,19,Optimal,3.20,No
j2017_6.mm,151,49800,328691,36,Optimal,2.82,No
j2017_7.mm,160,67217,391416,27,Optimal,2.41,No
j2017_8.mm,167,66178,407088,27,Optimal,3.63,No
j2017_9.mm,154,69237,391091,18,Optimal,3.56,No
j2018_1.mm,179,101542,514310,30,Optimal,4.93,No
j2018_10.mm,153,80681,400809,27,Optimal,3.93,No
j2018_2.mm,181,117049,542966,27,Optimal,5.43,No
j2018_3.mm,145,89472,397504,20,Optimal,2.96,No
j2018_4.mm,149,67582,363703,21,Optimal,3.43,No
j2018_5.mm,155,90960,422850,23,Optimal,4.06,No
j2018_6.mm,157,91732,431825,21,Optimal,4.10,No
j2018_7.mm,150,79313,392136,25,Optimal,3.15,No
j2018_8.mm,175,99899,493372,29,Optimal,4.67,No
j2018_9.mm,156,72679,395856,22,Optimal,3.78,No
j2019_1.mm,153,113943,467342,25,Optimal,4.57,No
j2019_10.mm,166,98073,461324,33,Optimal,4.59,No
j2019_2.mm,154,89064,426373,20,Optimal,4.25,No
j2019_3.mm,165,110873,491522,27,Optimal,5.09,No
j2019_4.mm,145,102546,428643,20,Optimal,3.81,No
j2019_5.mm,161,105080,470761,23,Optimal,4.74,No
j2019_6.mm,156,95408,424419,35,Optimal,3.60,No
j2019_7.mm,157,108525,460969,30,Optimal,3.35,No
j2019_8.mm,148,109094,448527,21,Optimal,4.57,No
j2019_9.mm,151,96842,430607,19,Optimal,4.49,No
j2020_1.mm,169,131900,546566,25,Optimal,5.47,No
j2020_10.mm,143,128406,473240,21,Optimal,4.27,No
j2020_2.mm,159,134153,507801,29,Optimal,5.51,No
j2020_3.mm,161,112450,483331,21,Optimal,3.68,No
j2020_4.mm,157,145006,541057,23,Optimal,5.72,No
j2020_5.mm,152,128198,492595,20,Optimal,5.26,No
j2020_6.mm,151,145216,519784,21,Optimal,5.33,No
j2020_7.mm,162,153595,573253,25,Optimal,6.00,No
j2020_8.mm,147,154457,535299,17,Optimal,4.70,No
j2020_9.mm,163,116652,484269,34,Optimal,4.84,No
j2021_1.mm,164,172590,609800,33,Optimal,7.25,No
j2021_10.mm,159,159352,576691,28,Optimal,6.96,No
j2021_2.mm,160,162070,576425,45,Optimal,7.14,No
j2021_3.mm,159,167109,582187,33,Optimal,6.23,No
j2021_4.mm,151,123103,460516,42,Optimal,4.84,No
j2021_5.mm,161,196893,640055,32,Optimal,7.44,No
j2021_6.mm,165,174934,623741,26,Optimal,6.26,No
j2021_7.mm,164,183283,635753,31,Optimal,7.30,No
j2021_8.mm,172,201164,692297,33,Optimal,10.21,No
j2021_9.mm,174,175028,646734,33,Optimal,7.16,No
j2022_1.mm,149,222904,673709,27,Optimal,5.61,No
j2022_10.mm,170,277263,829246,29,Optimal,9.30,No
j2022_2.mm,164,180241,618225,30,Optimal,6.65,No
j2022_3.mm,156,251961,750558,24,Optimal,7.38,No
j2022_4.mm,173,260428,815153,26,Optimal,9.07,No
j2022_5.mm,156,187701,617159,24,Optimal,6.75,No
j2022_6.mm,172,293333,866592,26,Optimal,10.00,No
j2022_7.mm,149,203318,637201,22,Optimal,5.92,No
j2022_8.mm,160,239869,725902,35,Optimal,8.33,No
j2022_9.mm,155,229638,700850,22,Optimal,8.19,No
j2023_1.mm,159,269450,795753,25,Optimal,7.81,No
j2023_10.mm,168,350966,969367,25,Optimal,11.28,No
j2023_2.mm,150,302989,833188,23,Optimal,9.78,No
j2023_3.mm,163,295477,853958,28,Optimal,9.92,No
j2023_4.mm,165,261366,788124,25,Optimal,8.82,No
j2023_5.mm,162,349204,959985,22,Optimal,11.28,No
j2023_6.mm,156,274955,796246,23,Optimal,6.83,No
j2023_7.mm,167,412391,1101013,19,Optimal,12.84,No
j2023_8.mm,159,339104,933661,18,Optimal,10.90,No
j2023_9.mm,157,276554,805414,17,Optimal,7.97,No
j2024_1.mm,153,353867,944416,27,Optimal,11.53,No
j2024_10.mm,162,397898,1050546,19,Optimal,13.06,No
j2024_2.mm,162,281284,819030,31,Optimal,9.15,No
j2024_3.mm,145,382247,977586,17,Optimal,11.10,No
j2024_4.mm,147,320343,860561,26,Optimal,8.20,No
j2024_5.mm,157,268752,782339,32,Optimal,6.76,No
j2024_6.mm,161,392420,1042930,14,Optimal,12.51,No
j2024_7.mm,150,450786,1127480,19,Optimal,13.34,No
j2024_8.mm,156,330490,905631,27,Optimal,10.52,No
j2024_9.mm,160,444105,1137879,24,Optimal,14.47,No
j2025_1.mm,168,58778,394000,37,Optimal,3.74,No
j2025_10.mm,154,49606,351068,31,Optimal,3.70,No
j2025_2.mm,153,74100,398712,21,Optimal,4.38,No
j2025_3.mm,151,55988,350193,21,Optimal,2.88,No
j2025_4.mm,156,58905,377053,24,Optimal,3.30,No
j2025_5.mm,167,69336,415816,30,Optimal,3.97,No
j2025_6.mm,155,61645,368003,26,Optimal,3.42,No
j2025_7.mm,175,70897,445676,26,Optimal,4.18,No
j2025_8.mm,147,60907,349637,18,Optimal,3.22,No
j2025_9.mm,152,49912,339623,24,Optimal,3.15,No
j2026_1.mm,150,78245,388692,22,Optimal,3.90,No
j2026_10.mm,174,76057,435184,43,Optimal,4.94,No
j2026_2.mm,162,88104,441087,21,Optimal,4.21,No
j2026_3.mm,153,90221,414118,27,Optimal,4.07,No
j2026_4.mm,154,90866,426045,22,Optimal,3.00,No
j2026_5.mm,160,93073,446042,26,Optimal,4.59,No
j2026_6.mm,162,72716,408596,24,Optimal,4.11,No
j2026_7.mm,150,86140,414032,16,Optimal,4.03,No
j2026_8.mm,155,80470,399726,31,Optimal,3.20,No
j2026_9.mm,160,84958,427840,21,Optimal,4.20,No
