instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error,,,534,18,88
j3031_7.mm,227,441937,1229883,45,Optimal,0.65,No,,,,,,
j3031_8.mm,230,530934,1419263,26,Optimal,0.7,No,,,,,,
j3031_9.mm,246,520287,1408148,33,Optimal,0.68,No,,,,,,
j3032_1.mm,253,673267,1700886,31,Optimal,0.68,No,,,,,,
j3032_10.mm,236,504657,1336738,29,Optimal,0.75,No,,,,,,
j3032_2.mm,237,564160,1483863,32,Optimal,0.67,No,,,,,,
j3032_3.mm,236,609621,1518856,28,Optimal,0.68,No,,,,,,
j3032_4.mm,242,537479,1442112,27,Optimal,0.66,No,,,,,,
j3032_5.mm,250,678363,1718571,29,Optimal,0.79,No,,,,,,
j3032_6.mm,245,563397,1486869,29,Optimal,0.63,No,,,,,,
j3032_7.mm,247,529968,1420875,36,Optimal,0.63,No,,,,,,
j3032_8.mm,227,499355,1339500,29,Optimal,0.71,No,,,,,,
j3032_9.mm,234,588611,1537904,22,Optimal,0.7,No,,,,,,
j3033_1.mm,243,176166,649068,47,Optimal,3.19,No,,,,,,
j3033_10.mm,236,187209,679233,39,Optimal,2.12,No,,,,,,
j3033_2.mm,239,189869,686622,45,Optimal,4.64,No,,,,,,
j3033_3.mm,248,190034,704938,45,Optimal,0.75,No,,,,,,
j3033_4.mm,243,190624,698131,57,Optimal,1.6,No,,,,,,
j3033_5.mm,237,188851,695145,49,Optimal,1.63,No,,,,,,
j3033_6.mm,246,194297,711497,41,Optimal,1.25,No,,,,,,
j3033_7.mm,253,190099,719713,45,Optimal,1.75,No,,,,,,
j3033_8.mm,231,161564,613988,39,Optimal,3.54,No,,,,,,
j3033_9.mm,245,155245,629513,44,Optimal,0.81,No,,,,,,
j3034_1.mm,239,227821,744807,39,Optimal,0.43,No,,,,,,
j3034_10.mm,245,203306,754107,54,Optimal,0.87,No,,,,,,
j3034_2.mm,230,197547,689423,32,Optimal,0.72,No,,,,,,
j3034_3.mm,245,214014,766213,38,Optimal,1.28,No,,,,,,
j3034_4.mm,247,182165,700837,42,Optimal,1.44,No,,,,,,
j3034_5.mm,236,195319,706496,43,Optimal,1.06,No,,,,,,
